Marco_Margarita_Left_3.c3d  



Time(s):	B_L_bicipite(μV):
0	125.58289
0.0005	132.83386
0.001	105.44128
0.0015	80.66711
0.002	58.71277
0.0025	16.61682
0.003	-21.65222
0.0035	-63.84888
0.004	-95.67261
0.0045	-121.35315
0.005	-98.69385
0.0055	-87.51526
0.006	-79.66003
0.0065	-68.48145
0.007	-53.67737
0.0075	-48.74268
0.008	-49.14551
0.0085	-41.89453
0.009	-43.90869
0.0095	-52.67029
0.01	-57.30286
0.0105	-61.12976
0.011	-55.18799
0.0115	-49.0448
0.012	-36.95984
0.0125	-26.28479
0.013	-29.60815
0.0135	-32.12585
0.014	-28.70178
0.0145	-28.80249
0.015	-12.89062
0.0155	5.23682
0.016	16.01257
0.0165	23.16284
0.017	33.03223
0.0175	29.10461
0.018	27.29187
0.0185	32.7301
0.019	52.26746
0.0195	75.73242
0.02	94.06128
0.0205	96.17615
0.021	90.63721
0.0215	82.88269
0.022	67.17224
0.0225	50.95825
0.023	30.11169
0.0235	10.57434
0.024	-4.63257
0.0245	-21.3501
0.025	-27.6947
0.0255	-38.67188
0.026	-33.13293
0.0265	-19.23523
0.027	-1.91345
0.0275	5.43823
0.028	25.68054
0.0285	58.10852
0.029	72.00623
0.0295	74.52393
0.03	94.76624
0.0305	114.505
0.031	115.51208
0.0315	82.27844
0.032	46.22498
0.0325	5.13611
0.033	-32.42798
0.0335	-63.24463
0.034	-84.19189
0.0345	-98.79456
0.035	-102.01721
0.0355	-106.04553
0.036	-100.00305
0.0365	-90.13367
0.037	-71.90552
0.0375	-48.03772
0.038	-7.85522
0.0385	32.42798
0.039	38.47046
0.0395	54.68445
0.04	53.07312
0.0405	40.48462
0.041	12.78992
0.0415	-7.25098
0.042	-20.24231
0.0425	-18.53027
0.043	-15.30762
0.0435	-12.08496
0.044	15.1062
0.0445	67.17224
0.045	142.099
0.0455	222.76611
0.046	279.76685
0.0465	305.6488
0.047	285.30579
0.0475	238.37585
0.048	174.32556
0.0485	107.55615
0.049	48.13843
0.0495	-7.04956
0.05	-57.40356
0.0505	-98.19031
0.051	-131.62537
0.0515	-121.35315
0.052	-69.48853
0.0525	-44.0094
0.053	-12.99133
0.0535	16.81824
0.054	47.43347
0.0545	62.53967
0.055	78.45154
0.0555	56.09436
0.056	15.50903
0.0565	-24.87488
0.057	-49.64905
0.0575	-70.29419
0.058	-73.71826
0.0585	-93.15491
0.059	-91.34216
0.0595	-76.63879
0.06	-75.93384
0.0605	-83.38623
0.061	-79.96216
0.0615	-79.76074
0.062	-96.8811
0.0625	-85.70251
0.063	-56.09436
0.0635	-18.42957
0.064	75.93384
0.0645	188.32397
0.065	273.52295
0.0655	355.19714
0.066	382.08618
0.0665	377.85645
0.067	322.36633
0.0675	233.74329
0.068	127.19421
0.0685	15.91187
0.069	-79.15649
0.0695	-158.61511
0.07	-243.71338
0.0705	-273.62366
0.071	-299.60632
0.0715	-312.19482
0.072	-299.90845
0.0725	-266.17126
0.073	-238.87939
0.0735	-217.12646
0.074	-189.83459
0.0745	-156.90308
0.075	-148.3429
0.0755	-134.04236
0.076	-122.66235
0.0765	-104.4342
0.077	-77.74658
0.0775	-58.10852
0.078	-58.00781
0.0785	-57.60498
0.079	-48.23914
0.0795	-35.54993
0.08	-19.73877
0.0805	-11.07788
0.081	-5.33752
0.0815	21.14868
0.082	57.30286
0.0825	78.14941
0.083	65.76233
0.0835	56.90002
0.084	53.27454
0.0845	53.57666
0.085	56.90002
0.0855	77.948
0.086	83.38623
0.0865	78.85437
0.087	63.04321
0.0875	47.33276
0.088	28.50037
0.0885	24.77417
0.089	32.93152
0.0895	43.70728
0.09	42.29736
0.0905	45.72144
0.091	35.04639
0.0915	14.40125
0.092	3.7262
0.0925	17.32178
0.093	45.01648
0.0935	42.49878
0.094	36.75842
0.0945	19.94019
