Marco_Margarita_Left_1.c3d  



Time(s):	A_R_bicipite(μV):
0	8.66089
0.0005	5.13611
0.001	2.81982
0.0015	0.90637
0.002	4.22974
0.0025	2.92053
0.003	3.52478
0.0035	0.80566
0.004	4.83398
0.0045	-2.71912
0.005	0.10071
0.0055	1.61133
0.006	3.42407
0.0065	1.40991
0.007	6.04248
0.0075	8.45947
0.008	8.66089
0.0085	9.56726
0.009	6.44531
0.0095	6.94885
0.01	4.22974
0.0105	3.12195
0.011	6.2439
0.0115	3.02124
0.012	5.13611
0.0125	3.32336
0.013	2.11487
0.0135	3.42407
0.014	7.15027
0.0145	10.77576
0.015	5.43823
0.0155	-1.40991
0.016	3.52478
0.0165	6.2439
0.017	9.56726
0.0175	6.2439
0.018	11.38
0.0185	5.13611
0.019	7.65381
0.0195	6.04248
0.02	3.92761
0.0205	3.52478
0.021	4.93469
0.0215	5.84106
0.022	2.61841
0.0225	4.33044
0.023	6.64673
0.0235	6.64673
0.024	4.93469
0.0245	5.63965
0.025	10.47363
0.0255	7.65381
0.026	9.56726
0.0265	3.7262
0.027	3.22266
0.0275	7.5531
0.028	5.13611
0.0285	7.75452
0.029	12.78992
0.0295	7.85522
0.03	2.61841
0.0305	4.53186
0.031	0.90637
0.0315	-6.2439
0.032	-5.84106
0.0325	-4.43115
0.033	-4.73328
0.0335	-4.53186
0.034	-2.01416
0.0345	1.3092
0.035	3.12195
0.0355	9.66797
0.036	2.61841
0.0365	3.02124
0.037	0
0.0375	7.45239
0.038	-1.2085
0.0385	5.84106
0.039	7.95593
0.0395	8.25806
0.04	7.35168
0.0405	9.76868
0.041	7.95593
0.0415	9.76868
0.042	10.0708
0.0425	5.63965
0.043	-0.40283
0.0435	7.85522
0.044	6.14319
0.0445	7.45239
0.045	5.53894
0.0455	0.80566
0.046	0.30212
0.0465	4.12903
0.047	2.71912
0.0475	3.8269
0.048	8.66089
0.0485	5.23682
0.049	1.71204
0.0495	4.63257
0.05	6.14319
0.0505	4.83398
0.051	-2.41699
0.0515	0.90637
0.052	3.42407
0.0525	2.61841
0.053	0.50354
0.0535	0.20142
0.054	-0.30212
0.0545	5.53894
0.055	3.8269
0.0555	5.84106
0.056	7.5531
0.0565	6.04248
0.057	6.74744
0.0575	5.94177
0.058	5.13611
0.0585	5.33752
0.059	5.74036
0.0595	7.04956
