Marco_Margarita_Right_2.c3d  



Time(s):	B_L_bicipite(μV):
0	11.88354
0.0005	8.8623
0.001	10.57434
0.0015	10.37292
0.002	4.93469
0.0025	0.60425
0.003	3.32336
0.0035	6.74744
0.004	5.53894
0.0045	5.0354
0.005	4.22974
0.0055	5.74036
0.006	5.0354
0.0065	7.65381
0.007	5.53894
0.0075	7.45239
0.008	8.7616
0.0085	6.94885
0.009	7.95593
0.0095	7.45239
0.01	9.86938
0.0105	8.56018
0.011	8.45947
0.0115	6.94885
0.012	7.95593
0.0125	5.13611
0.013	11.38
0.0135	0.80566
0.014	3.92761
0.0145	2.5177
0.015	4.33044
0.0155	5.94177
0.016	8.7616
0.0165	10.37292
0.017	9.36584
0.0175	2.31628
0.018	8.96301
0.0185	8.7616
0.019	5.43823
0.0195	5.23682
0.02	3.92761
0.0205	6.64673
0.021	3.42407
0.0215	6.64673
0.022	3.22266
0.0225	11.38
0.023	10.17151
0.0235	6.2439
0.024	5.33752
0.0245	6.64673
0.025	4.73328
0.0255	8.15735
0.026	6.14319
0.0265	4.83398
0.027	5.84106
0.0275	6.84814
0.028	1.40991
0.0285	-1.71204
0.029	1.81274
0.0295	4.93469
0.03	3.52478
0.0305	7.5531
0.031	10.0708
0.0315	11.07788
0.032	11.38
0.0325	5.23682
0.033	6.14319
0.0335	6.94885
0.034	0.30212
0.0345	1.51062
0.035	6.44531
0.0355	10.37292
0.036	11.07788
0.0365	3.8269
0.037	5.0354
0.0375	8.05664
0.038	10.37292
0.0385	10.57434
0.039	12.28638
0.0395	5.63965
0.04	9.26514
0.0405	5.63965
0.041	4.93469
0.0415	12.99133
0.042	6.2439
0.0425	8.56018
0.043	6.94885
0.0435	9.46655
0.044	1.10779
0.0445	-1.2085
0.045	9.36584
0.0455	13.797
0.046	2.41699
0.0465	4.43115
0.047	2.41699
0.0475	2.81982
0.048	1.00708
0.0485	4.43115
0.049	3.12195
0.0495	8.15735
0.05	4.83398
0.0505	8.56018
0.051	6.84814
0.0515	5.13611
0.052	10.27222
0.0525	6.94885
0.053	5.43823
0.0535	8.7616
0.054	4.33044
0.0545	6.64673
0.055	5.84106
0.0555	3.52478
0.056	3.62549
0.0565	6.64673
0.057	9.86938
0.0575	2.61841
0.058	7.95593
0.0585	4.63257
0.059	2.21558
0.0595	8.05664
0.06	0.10071
0.0605	4.63257
0.061	1.51062
0.0615	6.2439
0.062	3.62549
0.0625	3.32336
0.063	4.63257
0.0635	9.66797
0.064	0.20142
0.0645	5.33752
0.065	7.15027
0.0655	6.54602
0.066	7.45239
0.0665	6.64673
0.067	6.2439
0.0675	3.02124
0.068	3.52478
0.0685	8.05664
0.069	5.94177
0.0695	6.14319
0.07	8.7616
0.0705	7.35168
0.071	7.35168
0.0715	2.71912
0.072	3.7262
0.0725	2.81982
0.073	6.2439
0.0735	3.12195
0.074	0.30212
0.0745	0.80566
0.075	0.80566
0.0755	-1.2085
0.076	3.12195
0.0765	2.5177
0.077	4.83398
0.0775	8.25806
0.078	7.25098
0.0785	2.92053
0.079	7.85522
0.0795	4.43115
0.08	8.45947
0.0805	7.85522
0.081	3.22266
0.0815	2.92053
0.082	7.75452
0.0825	7.95593
0.083	4.83398
0.0835	4.43115
0.084	1.71204
0.0845	1.3092
0.085	4.63257
0.0855	4.43115
0.086	1.91345
0.0865	7.35168
0.087	4.73328
0.0875	2.01416
0.088	4.53186
